Date,Open,High,Low,Close,Adj Close,Volume
2022-06-22,110.556503,113.346497,110.382500,111.487503,111.487503,30774000
2022-06-23,112.231499,112.742500,110.500504,112.241997,112.241997,28362000
2022-06-24,112.995003,118.079002,112.952499,117.974998,117.974998,41164000
2022-06-27,118.273003,118.579498,115.179497,115.833504,115.833504,36420000
2022-06-28,115.802498,117.309502,111.848000,112.007500,112.007500,35792000
2022-06-29,111.552002,113.160500,110.872498,111.701500,111.701500,24716000
2022-06-30,110.000000,110.888000,106.750000,108.962997,108.962997,43170000
2022-07-01,107.932999,109.250000,106.730499,108.737503,108.737503,35476000
2022-07-05,107.100502,113.376999,105.731499,113.263000,113.263000,39342000
2022-07-06,113.302002,115.589500,111.475998,114.571999,114.571999,37432000
2022-07-07,115.080002,119.189499,114.833504,118.782997,118.782997,40936000
2022-07-08,117.250000,119.684998,116.901497,119.353500,119.353500,38238000
2022-07-11,117.998001,117.998001,115.330498,115.676498,115.676498,31196000
2022-07-12,116.214996,116.973999,113.690002,114.020500,114.020500,29960000
2022-07-13,111.700996,114.195999,111.201500,111.353500,111.353500,43722000
2022-07-14,110.210503,111.093002,108.373001,110.367500,110.367500,37004000
2022-07-15,112.000504,113.140503,110.900002,111.777496,111.777496,46770000
2022-07-18,112.639999,113.680000,108.370003,109.029999,109.029999,43164600
2022-07-19,110.849998,114.019997,109.559998,113.809998,113.809998,36530900
2022-07-20,113.169998,115.400002,112.480003,113.900002,113.900002,35600400
2022-07-21,114.279999,114.550003,111.110001,114.339996,114.339996,32676200
2022-07-22,111.000000,112.339996,106.500000,107.900002,107.900002,48901200
2022-07-25,108.410004,109.870003,106.300003,107.510002,107.510002,34690900
2022-07-26,106.599998,107.199997,104.070000,105.019997,105.019997,47991000
2022-07-27,109.260002,113.910004,108.010002,113.059998,113.059998,59858500
2022-07-28,112.370003,114.339996,111.459999,114.220001,114.220001,32816600
2022-07-29,113.080002,116.709999,113.059998,116.320000,116.320000,37223400
2022-08-01,115.300003,116.720001,114.339996,114.860001,114.860001,26034300
2022-08-02,114.000000,116.349998,113.720001,115.129997,115.129997,20236000
2022-08-03,115.709999,118.620003,115.480003,118.080002,118.080002,28499000
2022-08-04,117.480003,118.779999,116.889999,118.190002,118.190002,21602900
2022-08-05,116.230003,118.110001,116.000000,117.470001,117.470001,19159500
2022-08-08,118.389999,120.150002,116.879997,117.300003,117.300003,19138300
2022-08-09,117.139999,117.320000,115.709999,116.629997,116.629997,19086500
2022-08-10,118.779999,120.919998,118.410004,119.699997,119.699997,30930400
2022-08-11,121.279999,121.489998,118.559998,118.839996,118.839996,24293700
2022-08-12,120.260002,121.680000,119.459999,121.680000,121.680000,19096300
2022-08-15,121.129997,122.300003,120.610001,122.080002,122.080002,19494800
2022-08-16,121.519997,122.430000,120.639999,121.699997,121.699997,19041200
2022-08-17,120.120003,121.290001,119.379997,119.550003,119.550003,22847000
2022-08-18,119.430000,120.820000,118.720001,120.169998,120.169998,17987700
2022-08-19,119.059998,119.150002,116.760002,117.209999,117.209999,21809500
2022-08-22,115.199997,115.629997,113.849998,114.239998,114.239998,21456600
2022-08-23,113.480003,115.010002,113.430000,113.860001,113.860001,15870400
2022-08-24,113.500000,114.779999,112.870003,113.690002,113.690002,17734600
2022-08-25,114.239998,116.720001,114.110001,116.650002,116.650002,16956800
2022-08-26,114.720001,115.120003,110.190002,110.339996,110.339996,37245700
2022-08-29,109.989998,110.949997,108.800003,109.419998,109.419998,21191200
2022-08-30,110.169998,110.500000,107.800003,108.940002,108.940002,27513300
2022-08-31,110.650002,110.849998,108.129997,108.220001,108.220001,28627000
2022-09-01,108.279999,110.449997,107.360001,109.739998,109.739998,28360900
2022-09-02,110.589996,110.739998,107.260002,107.849998,107.849998,24160700
2022-09-06,107.300003,108.029999,105.779999,106.809998,106.809998,25068300
2022-09-07,107.059998,109.980003,106.900002,109.449997,109.449997,23167000
2022-09-08,108.040001,109.599998,107.160004,108.379997,108.379997,24238300
2022-09-09,109.070000,110.989998,109.019997,110.650002,110.650002,23197700
